ic_1d_mean,ic_1d_std,ic_5d_mean,ic_5d_std,ic_10d_mean,ic_10d_std,ic_20d_mean,ic_20d_std,ic_ir_20d,n_months,abs_ic_20d,factor_name
0.04500023415961666,0.17189338093019146,0.06778706969969503,0.16192726558224577,0.06834403475558358,0.12888736292773736,0.09284029540553336,0.1456720871736433,0.6373238497930562,56,0.09284029540553336,QTLD60
-0.05913158106067599,0.1643055070080083,-0.09498508409842955,0.1780101873296077,-0.08519800266338805,0.1565108814312312,-0.08827331626929025,0.16034826966645946,-0.5505099397228116,59,0.08827331626929025,KLEN
0.036979647201918424,0.17694799104245165,0.0732149617861634,0.16142868439372027,0.07069402360928363,0.1456263848083074,0.0846740166019971,0.15790813454214897,0.5362232721383939,56,0.0846740166019971,MIN60
0.060597389115586965,0.16319580543067513,0.09027614336583051,0.13321135143316226,0.07398348670612456,0.12919820982081218,0.08312788224990939,0.14060198247111722,0.5912283794888488,59,0.08312788224990939,MIN10
0.044008447625083644,0.1769549115134945,0.0767809349169696,0.14006429248869406,0.06580950454856559,0.13565871990867673,0.08190603243177397,0.14461656147932422,0.5663668918232279,59,0.08190603243177397,MIN20
0.05858574133417064,0.1614868895760881,0.09397160914850419,0.12451272287169003,0.07153181500618593,0.11763238054606379,0.08084850868441427,0.1270401661081402,0.6364011568983413,59,0.08084850868441427,MIN5
0.041470761548243924,0.1770447773829514,0.07490513505477397,0.1525107526087349,0.06748692133877478,0.1461654447381362,0.08018840068170575,0.1528152704986329,0.5247407567288793,58,0.08018840068170575,MIN30
-0.03200845446494078,0.16162606546517308,-0.08522884328736532,0.17117692897602005,-0.07794685569945975,0.14442123234916318,-0.07990417494713657,0.14873835665808968,-0.5372129741239378,59,0.07990417494713657,STD10
0.05086655915322891,0.18124250287915536,0.06211795289428749,0.1754649523385028,0.05890339076041102,0.14235565713416087,0.07875665804884645,0.15317643171878514,0.5141565002174795,56,0.07875665804884645,MA60
-0.023582944347794055,0.17262911928438626,-0.0722135676414445,0.18899869779688996,-0.06999592877875628,0.16155238108537576,-0.07864572211297823,0.1621763168618811,-0.4849396239493625,59,0.07864572211297823,STD20
0.05041571732759204,0.17811052449932638,0.06343795739256984,0.17759346042472865,0.06410928797959588,0.15606363231658596,0.07843135809209192,0.15665463169903412,0.500664150436829,58,0.07843135809209192,ROC30
0.04284061147083705,0.16364394773553728,0.06118278923862163,0.15294756929613984,0.060084011634014764,0.12756742633353615,0.07825841849283724,0.1282327809146638,0.6102840313843484,58,0.07825841849283724,QTLD30
0.04335413189066999,0.1627207813772759,0.05437224664844346,0.1541140849735725,0.05150410105620773,0.12850289636703194,0.07564723795945062,0.13696971595307478,0.552291705013207,56,0.07564723795945062,ROC60
0.04452555889153586,0.16289306392209832,0.06406158582591309,0.14053660483079267,0.060717211641785514,0.12400271847848816,0.0745665921405947,0.11790925788735947,0.6324065936467593,59,0.0745665921405947,QTLD20
-0.024279049150544428,0.15418422815983346,-0.06635971375147996,0.1549038704655096,-0.06289827097470667,0.13584784641909245,-0.06917148196279876,0.14376268148522298,-0.4811504713719992,59,0.06917148196279876,STD5
0.04941343588140832,0.1715245838591604,0.05743174791722733,0.16671074003250516,0.05612238759375341,0.14117909269058576,0.06858278982154827,0.13384440149262003,0.5124068624179055,58,0.06858278982154827,MA30
0.06177155275788921,0.15724847293564884,0.08650103087226874,0.12334917830796932,0.06575403642506207,0.11901359453923321,0.06621835007653487,0.12553419137587649,0.5274925448616252,59,0.06621835007653487,LOW0
-0.04511401836487843,0.14387400114180093,-0.053524262571278125,0.14512956690100048,-0.04987425058123341,0.1200808962073541,-0.06582063485267549,0.1344983596428863,-0.4893787182754492,56,0.06582063485267549,SUMP60
