trade_date,portfolio_return,scheme
2023-01-04,-0.0025173427739237893,Raw LGB
2023-01-05,0.0024128786054360123,Raw LGB
2023-01-06,-0.0024277531348340913,Raw LGB
2023-01-09,0.0005397930402759154,Raw LGB
2023-01-10,-0.000248676226430448,Raw LGB
2023-01-11,-0.0013634823701093406,Raw LGB
2023-01-12,-0.002259888172262836,Raw LGB
2023-01-13,0.0021478516193737195,Raw LGB
2023-01-16,0.007456825355248682,Raw LGB
2023-01-17,-0.0026937521316737325,Raw LGB
2023-01-18,0.003554753421045742,Raw LGB
2023-01-19,0.0014223161141899106,Raw LGB
2023-01-20,0.010451275760155542,Raw LGB
2023-01-30,0.004573259004279636,Raw LGB
2023-01-31,0.028852061935615344,Raw LGB
2023-02-02,-0.0042709082001570284,Raw LGB
2023-02-03,0.0016282897069774518,Raw LGB
2023-02-06,-0.0014834815071433916,Raw LGB
2023-02-07,0.010207591305814131,Raw LGB
2023-02-08,-0.010172748533804203,Raw LGB
2023-02-09,0.008106799835004204,Raw LGB
2023-02-10,0.0053871821211078546,Raw LGB
2023-02-13,0.009254092263674508,Raw LGB
2023-02-14,-0.0018555662115531464,Raw LGB
2023-02-15,0.0004721320102513508,Raw LGB
2023-02-16,-0.014800181539861216,Raw LGB
2023-02-17,-6.592401828551994e-05,Raw LGB
2023-02-20,0.013015142694839877,Raw LGB
2023-02-21,-0.0024511317562082875,Raw LGB
2023-02-22,0.004276976774861155,Raw LGB
2023-02-23,-0.0010997532186132494,Raw LGB
2023-02-24,0.0010822384589290746,Raw LGB
2023-02-27,-0.02842041537063129,Raw LGB
2023-02-28,0.013587655279886708,Raw LGB
2023-03-02,-0.010739003301077722,Raw LGB
2023-03-03,-0.0063376620215890595,Raw LGB
2023-03-06,-0.0002238161106361843,Raw LGB
2023-03-07,-0.009361622849745429,Raw LGB
2023-03-08,0.009090138409324962,Raw LGB
2023-03-09,0.010795950545737705,Raw LGB
2023-03-10,-0.008915807430006972,Raw LGB
2023-03-13,-0.004403342170824498,Raw LGB
2023-03-14,-0.013527697555656238,Raw LGB
2023-03-15,0.009939698409753632,Raw LGB
2023-03-16,-0.013566930049589872,Raw LGB
2023-03-17,0.005679807079153299,Raw LGB
2023-03-20,-0.0030035488397432753,Raw LGB
2023-03-21,0.011694172976630874,Raw LGB
2023-03-22,0.006644785632543034,Raw LGB
2023-03-23,-0.007787507201552413,Raw LGB
2023-03-24,0.0033521811054865775,Raw LGB
2023-03-27,-0.0036405402031045512,Raw LGB
2023-03-28,-0.0029145183551906985,Raw LGB
2023-03-29,-0.006672799176488545,Raw LGB
2023-03-30,-0.007400527467417936,Raw LGB
2023-03-31,0.00793787820201976,Raw LGB
2023-04-04,-0.014143777494370551,Raw LGB
2023-04-06,-0.008716384321020806,Raw LGB
2023-04-07,0.00213432603248412,Raw LGB
2023-04-10,-0.013082897689866776,Raw LGB
2023-04-11,0.006243842033220237,Raw LGB
2023-04-12,0.011319882023164075,Raw LGB
2023-04-13,-0.0008830665573791973,Raw LGB
2023-04-14,0.0017951078927945711,Raw LGB
2023-04-17,-0.002824401047507911,Raw LGB
2023-04-18,-0.007080989308569108,Raw LGB
2023-04-19,-0.005568139792081972,Raw LGB
2023-04-20,0.003904237467133768,Raw LGB
2023-04-21,-0.021222322664877995,Raw LGB
2023-04-24,0.0065742129693568225,Raw LGB
2023-04-25,-0.022903627763186205,Raw LGB
2023-04-26,0.00707731054068886,Raw LGB
2023-04-27,0.009866017945858004,Raw LGB
2023-04-28,0.012227882914274983,Raw LGB
2023-05-05,-0.0020087513654931054,Raw LGB
2023-05-08,0.020252326998885063,Raw LGB
2023-05-09,-0.022676654472447058,Raw LGB
2023-05-10,0.002043062902687668,Raw LGB
2023-05-11,0.009340664535738489,Raw LGB
2023-05-12,-0.00015341995126728994,Raw LGB
2023-05-15,0.0040615519699526,Raw LGB
2023-05-16,-0.004574701042016819,Raw LGB
2023-05-17,0.011028842503590855,Raw LGB
2023-05-18,0.00011707694294743979,Raw LGB
2023-05-19,-0.0001855550822424649,Raw LGB
2023-05-22,0.004165515614086808,Raw LGB
2023-05-23,-0.0006631417903873338,Raw LGB
2023-05-24,-0.0041841246967793495,Raw LGB
2023-05-25,-0.002269704425571595,Raw LGB
2023-05-26,0.0002854713274929255,Raw LGB
2023-05-29,-0.005026516207715607,Raw LGB
2023-05-30,0.0015884305008326606,Raw LGB
2023-05-31,0.0008640584634151738,Raw LGB
2023-06-02,0.0056600458032899014,Raw LGB
2023-06-05,-0.00039468113090293706,Raw LGB
2023-06-06,-0.006120677745823603,Raw LGB
2023-06-07,0.007543399846507278,Raw LGB
2023-06-08,0.0050373722325203945,Raw LGB
2023-06-09,0.0038986409066684787,Raw LGB
2023-06-12,-0.008592987405020281,Raw LGB
2023-06-13,-0.011920453413814832,Raw LGB
2023-06-14,-0.003188068928421465,Raw LGB
2023-06-15,-0.0006442549278242504,Raw LGB
2023-06-16,0.0038044062106578663,Raw LGB
2023-06-19,-0.009593864027456277,Raw LGB
2023-06-20,-0.009619169948672202,Raw LGB
2023-06-21,0.004315866524042892,Raw LGB
2023-06-26,-0.005777315574655854,Raw LGB
2023-06-27,0.007987467198028793,Raw LGB
2023-06-28,0.001804559918027156,Raw LGB
2023-06-29,0.006503363442023505,Raw LGB
2023-06-30,0.006095037038941867,Raw LGB
2023-07-04,-0.004344087232319447,Raw LGB
2023-07-05,-0.004459268119110215,Raw LGB
2023-07-06,-0.003422491988730451,Raw LGB
2023-07-07,-0.0014780962996927328,Raw LGB
2023-07-10,0.0003034812625942,Raw LGB
2023-07-11,0.005459153746546345,Raw LGB
2023-07-12,-0.013501096391259714,Raw LGB
2023-07-13,0.0067109600210743196,Raw LGB
2023-07-14,-0.0003634191034218433,Raw LGB
2023-07-17,0.0051875057020980865,Raw LGB
2023-07-18,0.008476301481237644,Raw LGB
2023-07-19,0.007455762358472369,Raw LGB
2023-07-20,-0.008549244554428188,Raw LGB
2023-07-21,-0.0018128132518510384,Raw LGB
2023-07-24,-0.00432501162008246,Raw LGB
2023-07-25,0.01844249772754923,Raw LGB
2023-07-26,-0.004928785587889176,Raw LGB
2023-07-27,-0.0037252767408679703,Raw LGB
2023-07-28,0.010163304848355252,Raw LGB
2023-07-31,0.017631169587655465,Raw LGB
2023-08-02,-0.0040750928142858165,Raw LGB
2023-08-03,-0.0034399487769873746,Raw LGB
2023-08-04,-0.0030376715738508865,Raw LGB
2023-08-07,-0.012038008294096477,Raw LGB
2023-08-08,0.0013866283211346087,Raw LGB
2023-08-09,-0.007502051761105714,Raw LGB
2023-08-10,0.006532943478428529,Raw LGB
