ic_1d_mean,ic_1d_std,ic_5d_mean,ic_5d_std,ic_10d_mean,ic_10d_std,ic_20d_mean,ic_20d_std,ic_ir_20d,n_months,abs_ic_20d,factor_name
0.0450002341596166,0.1718933809301914,0.067787069699695,0.1619272655822457,0.0683440347555835,0.1288873629277373,0.0928402954055333,0.1456720871736433,0.6373238497930562,56,0.0928402954055333,QTLD60
-0.0591315810606759,0.1643055070080083,-0.0949850840984295,0.1780101873296077,-0.085198002663388,0.1565108814312312,-0.0882733162692902,0.1603482696664594,-0.5505099397228116,59,0.0882733162692902,KLEN
-0.0440979798757255,0.0886525626382109,-0.0682578728212889,0.0962307850469951,-0.054971360569928,0.0659125059410293,-0.0645065487504683,0.079382417467471,-0.8126049924857599,59,0.0645065487504683,KLOW
0.054084653545834,0.1602759895056974,0.0693424018193555,0.1424892594366556,0.0565891123064237,0.1191708721116885,0.063774866323937,0.1163796104424681,0.5479900309076553,59,0.063774866323937,QTLD10
-0.0089623022233114,0.1862075644028531,-0.0509865565350527,0.2086759038318913,-0.0475366563736042,0.1845852091381638,-0.0596360770746901,0.1805265305230693,-0.3303452235057433,56,0.0596360770746901,STD60
-0.04762190389907,0.0953258178037469,-0.0529874835328731,0.0988763792368242,-0.0526061941662342,0.0929345885053868,-0.059380837298697,0.0883179284092774,-0.6723531492138917,56,0.059380837298697,VSUMP60
-0.0213807455690835,0.0925830127538405,-0.0451447369888456,0.0925302317966027,-0.046125661688218,0.0812089326626427,-0.0590343517159418,0.0851210382739248,-0.6935342062589984,59,0.0590343517159418,CORR10
0.0632847691455065,0.1069444968429053,0.0598123289705151,0.1166280379634946,0.0589389434802385,0.0995127449759083,0.0575822879698521,0.0903494690699743,0.6373284598343154,56,0.0575822879698521,VMA60
-0.0158891508404617,0.098348940011432,-0.0334942666202674,0.1054608421623115,-0.0337975531576889,0.0899961754843434,-0.0520410952919216,0.0994280106436007,-0.5234047725035884,58,0.0520410952919216,CORD30
-0.0073681305460274,0.091658895772216,-0.0301923004431719,0.0990916437383484,-0.0336130369867479,0.0833410831700602,-0.0472187446529221,0.0981520210982705,-0.4810776601855741,59,0.0472187446529221,CORR20
-0.05756876629238,0.1334254060291995,-0.0655038724700181,0.1303549457370915,-0.0486352875347438,0.1150211213370406,-0.0463233859509059,0.1237534403403298,-0.3743199851506299,59,0.0463233859509059,RANK5
0.0478619984702443,0.172952946737445,0.0468281303473046,0.1762841522235517,0.0441446367782543,0.1476416943699997,0.0462362219510021,0.1328386120642934,0.3480631213481508,58,0.0462362219510021,QTLU30
-0.025019005539948,0.1152297644237543,-0.0447238801298011,0.1185110189431584,-0.0440390796340621,0.1131743855268092,-0.0452886590941471,0.1170854829882146,-0.3867999510948669,58,0.0452886590941471,CNTP30
-0.0455620336408741,0.1133270621888875,-0.0526053967174404,0.1139809112700833,-0.0403502229931578,0.1000519253255193,-0.0434002276360192,0.0977029577721061,-0.4442058728335208,58,0.0434002276360192,VSUMP30
0.0480523222661164,0.0953620437963466,0.0480051649328563,0.0967447497063453,0.0386252553428791,0.0831596864467073,0.0422018146003183,0.0782587743943142,0.5392598456390497,58,0.0422018146003183,VSUMN20
-0.0105103535846654,0.0751110379511218,-0.0240850969457022,0.0758224779850031,-0.0230293600700924,0.0692278841909749,-0.0398202255664496,0.0681331963583684,-0.5844467556815908,59,0.0398202255664496,CORR5
0.0576376818298591,0.0939048075354286,0.0517897178967106,0.0972624895268191,0.0389404728519494,0.0754888301941859,0.0368931723461372,0.0712894110767129,0.5175126542414523,59,0.0368931723461372,VMA20
0.0099003906278093,0.1248629394604265,-0.0264034188444519,0.1701690944084835,-0.0287623331057292,0.1330368950166243,-0.0367317463784881,0.1372344677069896,-0.2676568575807552,59,0.0367317463784881,MAX5
-0.0289533617523733,0.1016519632091901,-0.0385145499047374,0.1101216233731263,-0.0328363302852593,0.1089360431624377,-0.0331040175720564,0.1042782099779576,-0.3174586289766238,59,0.0331040175720564,CNTP10
0.0399485852459876,0.1409876400359326,0.051047775672374,0.14968428071572,0.0286392737668138,0.1187756678632076,0.0282239751290454,0.1138359994270196,0.2479354094562324,59,0.0282239751290454,VWAP0
0.0460679920038978,0.0801431326251226,0.0386413428154316,0.0900071678718012,0.0289598437771627,0.0741019074187516,0.0223787347635895,0.0746491866759798,0.2997853795839235,58,0.0223787347635895,VSTD30
-0.0454017539579787,0.0822977863117209,-0.0400139955407469,0.0830390730498552,-0.0242214104469334,0.0698526477732878,-0.0206717231083455,0.0769202435347377,-0.2687422992718592,59,0.0206717231083455,VSUMP5
0.0486305105456606,0.0773969372032588,0.0364802599072103,0.0833557999766996,0.0269506958079084,0.0664578457518202,0.0202167774367504,0.07410251048146,0.2728217614372967,59,0.0202167774367504,VMA5
